size	encoders	weighted_correct	weighted_acc	weighted_kappa	majority_correct	majority_resolved	majority_acc_resolved	majority_kappa_resolved	abstain_rate
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43825261492484835	22	28	0.7857142857142857	0.7333333333333334	0.8313253012048193
6	gemma,granite,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43716424482606775	11	18	0.6111111111111112	0.5190839694656488	0.891566265060241
8	gemma,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43854871299305975	18	26	0.6923076923076923	0.6133828996282528	0.8433734939759037
7	gemma,gpt_oss_20b,granite,ministral,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43617115130127926	35	51	0.6862745098039216	0.6161806208842897	0.6927710843373494
8	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43746149106592713	26	35	0.7428571428571429	0.6739130434782609	0.7891566265060241
7	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43661847672778564	47	76	0.618421052631579	0.527140098691268	0.5421686746987953
7	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30	89	0.536144578313253	0.436841873375336	43	64	0.671875	0.5937122128174124	0.6144578313253012
8	gemma,gpt_oss_20b,granite,ministral,rinna_bilingual_4b,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4379067722075637	20	25	0.8	0.75	0.8493975903614458
5	gemma,gpt_oss_20b,granite,rinna_bilingual_4b_jpfull,rinna_jp_3_6b	89	0.536144578313253	0.43731290720197225	41	60	0.6833333333333333	0.6174496644295302	0.6385542168674698
7	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4370898841766856	50	77	0.6493506493506493	0.5751072961373391	0.536144578313253
