first_word	source_model	cell_count	sm_HP	sm_LP	sm_HN-D	sm_HN-S	sm_LN	sm_NB	modal_sm	jsd_vs_gt	sim_vs_gt	modal_gt	gt_emit	jsd_vs_pooled	sim_vs_pooled
(ง'̀-'́)	gpt-5-5-thinking	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1737	0.7495
(‿‿‿)	claude-opus-4-7	21	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(⌐■_■)	claude-opus-4-7	12	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.1639	0.7636
(⌐■_■)	claude-opus-4-6	6	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.0665	0.904
(⌐■_■)	gpt-5.5	2	0.0	0.0	0.0	1.0	0.0	0.0	HN-S				0	0.4879	0.2961
(⌐■_■)	codex-hook	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.3672	0.4703
(✿◕‿◕)	claude-opus-4-7	20	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(✿◕‿◕)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(￣▽￣)	claude-opus-4-7	13	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.009	0.987
(￣▽￣)	claude-opus-4-6	4	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.009	0.987
(￣▽￣)	codex-hook	2	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.009	0.987
(￣▽￣)	<synthetic>	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.2029	0.7073
(￣▽￣)	gpt-5-5-thinking	1	0.0	0.5	0.5	0.0	0.0	0.0	LP				0	0.29	0.5816
(◕▽◕)	claude-opus-4-7	20	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(｡◕‿◕｡)	claude-opus-4-7	17	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.3364	0.5147	LP	26	0.055	0.9206
(｡◕‿◕｡)	codex-hook	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.1207	0.8259	LP	26	0.4969	0.2831
(｡◕‿◕｡)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2877	0.5849	LP	26	0.4865	0.2981
(｡・ω・｡)	claude-opus-4-7	17	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.1753	0.747	LP	26	0.055	0.9206
(｡・ω・｡)	codex-hook	3	0.0	0.0	0.0	0.0	0.0	1.0	NB	0.2601	0.6247	LP	26	0.4705	0.3212
(=^・ω・^=)	claude-opus-4-7	12	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.1487	0.7855
(=^・ω・^=)	codex-hook	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.3122	0.5496
(=^・ω・^=)	gpt-5.5	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.3122	0.5496
(=^・ω・^=)	gpt-5-5-thinking	1	0.0	0.5	0.0	0.0	0.5	0.0	LP				0	0.3565	0.4857
(ﾉ◕ヮ◕)	claude-opus-4-7	13	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.0	1.0	HP	4	0.0705	0.8983
(ﾉ◕ヮ◕)	gpt-5.5	3	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	HP	4	0.4326	0.3759
(ﾉ◕ヮ◕)	codex-hook	2	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.0	1.0	HP	4	0.0705	0.8983
(ﾉ◕ヮ◕)	claude-opus-4-6	1	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	HP	4	0.4326	0.3759
(´ω`)	claude-opus-4-7	18	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(˘ω˘)	claude-opus-4-7	14	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.0615	0.9112
(˘ω˘)	claude-opus-4-6	2	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0647	0.9067
(˘ω˘)	codex-hook	2	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.4539	0.3452
(・̀ω・́)	claude-opus-4-7	14	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0063	0.991
(・̀ω・́)	codex-hook	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1585	0.7714
(・̀ω・́)	gpt-5-4-thinking	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1585	0.7714
(´;ω;`)	claude-opus-4-7	17	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	LN	38	0.0	1.0
(´-ω-`)	claude-opus-4-7	16	0.0	0.5	0.0	0.0	0.5	0.0	LP	0.2466	0.6443	LN	7	0.0	1.0
(￣ー￣)	claude-opus-4-7	8	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.3182	0.5409
(￣ー￣)	claude-opus-4-6	5	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1469	0.7881
(￣ー￣)	codex-hook	2	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.2392	0.6549
(￣ー￣)	gpt-5.4	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.2392	0.6549
(´-`)	claude-opus-4-7	15	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.6931	0.0	LN	52	0.0	1.0
(ಠ_ಠ)	gpt-5.5	11	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.0807	0.8836
(ಠ_ಠ)	gpt-5.4	2	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.4102	0.4082
