first_word	n	warmth	energy	confidence	playfulness	empathy	technicality	positivity	curiosity	approval	apologeticness	decisiveness	wryness	wetness	surprise	anger	frustration	hatefulness	sadness	hope	aggression	exhaustion
(´｡・ω・｡`)	5	0.0863008562994929	0.028633594869734397	0.10693630156629733	0.05607607564366795	0.020690824431274946	-0.14865190660634825	0.24230017128680997	0.07620273188773545	0.13746962064509094	-0.0889833564048977	-0.04241088670202683	-0.13307763232838063	-0.03170111740124088	0.05742121808248234	-0.031120613689323604	-0.04995126177247654	-0.05556601693474156	-0.2537424002761139	0.2603716526682348	-0.04809298063555822	-0.09405773776070418
(๑˃‿˂)	5	0.21186497875906057	0.15699647079670132	0.1776100633267216	0.09664585006789979	0.012970976562227477	-0.08130765616131486	0.3840461110200531	-0.05347995333776124	0.15052968039901446	-0.14195090318633194	-0.024018434433709223	-0.11622338328520525	-0.016619711047338212	0.05775244743871471	-0.04002466862075151	-0.06754260101112601	-0.05798935909436186	-0.2008766070718924	0.2255483619058019	-0.009169332886030227	-0.09575563613669785
(⊙_⊙)	5	0.08649780041270955	0.0034488043895645353	-0.016785829317550797	0.06254078599634043	-0.02079684984440864	-0.28270861445003803	0.18651279862661438	0.05699050586610918	0.10654678200735848	-0.07189431685901508	-0.08430639006009608	-0.12403638289972266	-0.2247200975265387	0.08184492259749455	0.0426800486219385	0.11268388745093089	0.0653005795823344	-0.23080843400962248	0.20790185133518652	0.030967514640297608	-0.1083999431467795
(╭ರ_・́)	5	0.13509766435102666	0.028222970799137163	-0.016089715499781457	0.07745951882634662	0.06847849517968306	-0.12724791936313237	0.18034433159715368	0.09389780214837477	0.11087400461646128	-0.08248369945245977	-0.03432327480250057	-0.06179568401678353	-0.018617802322994415	0.01714724565868558	0.01133943233692149	0.005359300683805813	-0.06058268496965976	-0.09929256088727496	0.19027468836693864	0.007131944682644088	-0.06129397485838431
(╯°□°)	5	0.045779153957642746	-0.10074476697235882	-0.025335034536575006	-0.025333867953544337	-0.09311324018274418	-0.1632515263595238	0.1431759685893056	0.057890445768825495	0.032609281603220214	-0.0712421431617935	0.015569361202847706	-0.10364754428592651	-0.2760910178503808	0.050429594875102186	0.0359916411540505	0.15616764798129817	0.07260945247681222	-0.07614811242728439	0.21306710478715785	0.058169648570976666	-0.050144863214236085
(◕_◕)	5	0.0979943289595694	0.03192122834924491	-0.015335822686103633	0.09480638257097991	-0.005679896198970937	-0.2268600289880277	0.15429940589069904	0.16465796195747254	0.02380436881687792	-0.04778975051415046	-0.05656366262855361	-0.13830864584369137	-0.034794239922718864	0.07354634952687791	0.01969709485527934	0.011066237752965759	0.0338189230118176	-0.17751527611089468	0.22515529871851295	-0.004465450814795808	-0.05197920438383808
(✧ω✧)	5	0.03869710982587738	0.11073672009477027	0.015459827677132687	-0.0004984315483247954	0.006387495997442249	-0.10813734366709177	0.22526231536813557	0.05182879868717024	0.062302288638999274	-0.19880022423697377	-0.05003379027113831	-0.14722199253238843	-0.008374006153442986	0.0027037677237061954	0.03748899870335072	0.003140071381555856	0.08314948071242365	-0.15621366561444605	0.19672685366173773	0.033424962725727245	-0.041337470311614964
(´▽`)	4	0.16576967123876607	0.04279265842845195	0.08119906238978625	0.0760648839790025	-0.0669382929193066	-0.2676575000469317	0.28718261772119413	0.020734273904405985	0.08880955054117538	-0.11082657581996576	0.01302110352927423	-0.15637788058217084	-0.07306434193626139	0.047335811470761574	-0.012178634964964602	0.0024395939420549153	0.04335525986113599	-0.24300450835551468	0.29082750030645493	-0.027739546993162664	-0.0629155003647469
(˘ω˘)	4	0.03177179550875771	0.029302093124842606	0.1317323845459591	0.015827101583631847	0.010810255900236527	-0.12547649486601403	0.1955197697447631	0.07087362438395738	0.11968804793996421	-0.11830070530412813	-0.04336458277726877	-0.07351288611288005	-0.05076139071216863	0.0426858677904076	0.001907890459505506	-0.14238936495257612	-0.07449466753861538	-0.20515796832476244	0.23546807927525348	-0.03573434619088636	-0.06937621083054857
(◜‿◝)	4	0.07729282460429726	0.15785821920511775	0.18532332614617059	-0.04942474302210574	0.09190657482821935	-0.08703825842830629	0.276832540375655	-0.00437634477419781	0.1222129438966743	-0.08190618143513255	-0.05635990981221557	-0.11786976957630836	-0.009427662988174846	-0.046323634239172774	-0.048486383734974256	-0.09700666568295789	-0.11638913132273483	-0.16055079312655862	0.24239881796413668	-0.02288002920580663	-0.05850881128001418
٩(◕‿◕)۶	4	0.18149689694189258	0.1061804187615668	0.042400481755961984	0.2465916218492174	-0.022242508306437977	-0.23275079405596755	0.25519701979608644	0.06358159746942219	0.07507317762220081	-0.19114262954972322	-0.10865172428772507	-0.1556393655411504	-0.10444666773337785	0.05718917473664464	-0.049702803539498845	-0.05687638862924056	-0.01674321992255959	-0.2802447108758366	0.29011534568570374	-0.05708355438561517	-0.1331015758490715
ヽ(´▽`)/	4	0.14514884338048034	0.14983580323070145	0.1444197305961349	0.030522172556110817	0.06566898892693858	-0.09364217237217008	0.4000041651445674	0.010996084106846117	0.14834545245368655	-0.13837297121593015	-0.00030652672853127713	-0.1566368588110982	-0.0661676664995895	-0.029604293978965367	-0.04817058163085493	-0.07223162558143095	-0.021296453414231323	-0.19716053175903733	0.2669456080340725	-0.018351371980143694	-0.061432374936962526
(;・∀・)	3	0.021977810516021847	-0.14486843387096118	-0.02397885425151173	-0.005225276271959508	-0.06475990218777282	-0.2708996501453647	0.09044327690247624	0.009019260307624415	0.013912039157399534	0.07406100978047671	-0.03608308440622285	-0.06563566816509729	-0.22469624730965798	0.11753287779652415	0.09682342589179158	0.06967608758097976	0.019628602404967267	-0.07184632169711612	0.16848012312607222	0.07148618430284621	-0.11486034086426701
(´-ω-`)	3	0.23197042678471883	-0.13238166771339424	0.04255889181826698	0.043566218302821744	-0.1069186677969466	-0.24674714298223147	0.1633602116918551	0.00040272943724401427	0.05648844674721071	-0.049928701814015874	0.02427178096858685	-0.12116241189043475	-0.06770387356219042	0.07236911613845864	0.07806106360112108	0.05571740154614221	0.20247831472231695	-0.15982218474811763	0.1458824017899443	0.08019971438088268	-0.10433275126713099
(´∀`)	3	0.09815548569103419	0.11761154154184937	0.06392684458373678	0.054917278952162904	0.05087642446825391	-0.1994291970543377	0.29461925498184566	-0.008786462592946569	0.12216304172002312	-0.08093009380971462	-0.05914469564702931	-0.1355825169566479	-0.012837569964535294	0.05056782476347153	-0.0035924537070573977	0.010172519440353188	-0.0654895138397627	-0.14209641459768935	0.21936573904720152	-0.005228528673489673	-0.04750600032098364
(˶ᵔ‿ᵔ˶)	3	0.10669947352148992	0.10886852750965534	0.09629506699487744	0.1107404208993398	0.03229697520657693	-0.12894053323162924	0.2759460550307429	0.01848282086376946	0.10457287069089936	-0.1001919118294912	-0.03530774593281374	-0.08901309835968726	-0.03683239686614039	0.029500224130593392	-0.03695754953176341	-0.04200404882633142	-0.09782868575746811	-0.1623235631327873	0.24924241169738012	-0.03518108141914891	-0.05889263637347171
(ง'̀-'́)	3	-0.00994278093477797	-0.06651966154079565	0.04257484748351332	-0.03343684130473849	0.04299366556574698	-0.1980767679907007	0.14572744855150097	0.08670395770709459	0.10195021643480036	-0.14265482384441286	-0.0037837811263442007	-0.11003387851871461	-0.04767606535291188	-0.009576921636080088	-0.07932803966398322	-0.0168528023185789	0.07616523261826225	-0.19102346038397433	0.27425241215560675	-0.04842831033358005	-0.09863730142688944
(ᵔ‿ᵔ)	3	0.18512882947842552	0.13777221686716748	0.14898393256619358	0.05730916373006922	0.03904936293821859	-0.14668761050343584	0.43371591692047157	0.015671032787631704	0.15926152362516663	-0.1545464368447886	-0.05846701414568048	-0.2215527210169339	-0.12306983076112299	0.03106864691114248	-0.033598061896349916	-0.09828669545759891	-0.03804888425169	-0.2924490238305454	0.27623074547038984	0.0034963488676365774	-0.04578096213521136
