project_slug	axis	n	mean	std
geon	aggression	11	-0.011554528027772903	0.048129964619874954
geon	exhaustion	11	-0.0766613557934761	0.05989861115813255
hylic	warmth	20	-0.002048170194029808	0.05872649699449539
hylic	energy	20	-0.025218283757567406	0.05408205837011337
hylic	confidence	20	-0.02136574685573578	0.04583267867565155
hylic	playfulness	20	-0.01044837012887001	0.05992211773991585
hylic	empathy	20	0.04101021960377693	0.04024959355592728
hylic	technicality	20	-0.03432919457554817	0.07532057911157608
hylic	positivity	20	0.003991968929767609	0.060220278799533844
hylic	curiosity	20	0.07517899572849274	0.07644984126091003
hylic	approval	20	0.02340511791408062	0.04466456174850464
hylic	apologeticness	20	0.01824171468615532	0.08112967759370804
hylic	decisiveness	20	-0.007803458720445633	0.04367164149880409
hylic	wryness	20	-0.037344422191381454	0.06672123074531555
hylic	wetness	20	-0.017972629517316818	0.05627380311489105
hylic	surprise	20	-0.01631770096719265	0.06403294205665588
hylic	anger	20	-0.003964756615459919	0.062250278890132904
hylic	frustration	20	0.00681609520688653	0.06976518779993057
hylic	hatefulness	20	-0.03546498343348503	0.03690166771411896
hylic	sadness	20	-0.002392649184912443	0.046526141464710236
hylic	hope	20	0.03433385491371155	0.055505067110061646
hylic	aggression	20	-0.06628133356571198	0.04560430720448494
hylic	exhaustion	20	-0.04716373234987259	0.0688210129737854
kenoma	warmth	45	-0.011096249334514141	0.05132073163986206
kenoma	energy	45	-0.022009683772921562	0.04983996972441673
kenoma	confidence	45	-0.016948575153946877	0.04859369993209839
kenoma	playfulness	45	-0.0193950142711401	0.04552663117647171
kenoma	empathy	45	0.01753121241927147	0.0491303876042366
kenoma	technicality	45	-0.022702984511852264	0.0805504098534584
kenoma	positivity	45	0.012331526726484299	0.05412778630852699
kenoma	curiosity	45	0.05977465212345123	0.06805087625980377
kenoma	approval	45	0.026638252660632133	0.0537688210606575
kenoma	apologeticness	45	0.009012068621814251	0.048825088888406754
kenoma	decisiveness	45	-0.008429544977843761	0.05561714991927147
kenoma	wryness	45	-0.0033969134092330933	0.05841657519340515
kenoma	wetness	45	-0.03325258567929268	0.05415371060371399
kenoma	surprise	45	-0.008522069081664085	0.060112208127975464
kenoma	anger	45	-0.006842392031103373	0.05165274441242218
kenoma	frustration	45	0.026244761422276497	0.053196020424366
kenoma	hatefulness	45	-0.02107403799891472	0.058899298310279846
kenoma	sadness	45	-0.002235535765066743	0.04810209199786186
kenoma	hope	45	0.019582200795412064	0.05352327227592468
kenoma	aggression	45	-0.013613851740956306	0.04288891702890396
kenoma	exhaustion	45	-0.06270567327737808	0.05730307847261429
llmoji	warmth	147	-0.019212249666452408	0.05604493245482445
llmoji	energy	147	0.0034669304732233286	0.06662408262491226
llmoji	confidence	147	-0.027972854673862457	0.051725123077631
llmoji	playfulness	147	-0.008390766568481922	0.05980704352259636
llmoji	empathy	147	0.030278613790869713	0.05147779360413551
llmoji	technicality	147	-0.026449214667081833	0.06982728838920593
llmoji	positivity	147	-0.0009626508690416813	0.054423049092292786
llmoji	curiosity	147	0.064536452293396	0.07137347757816315
llmoji	approval	147	0.01665487326681614	0.06526470929384232
llmoji	apologeticness	147	-0.009014411829411983	0.06703803688287735
llmoji	decisiveness	147	-0.012264796532690525	0.06191752105951309
llmoji	wryness	147	-0.011104434728622437	0.06066974624991417
llmoji	wetness	147	-0.02761743776500225	0.06151556596159935
llmoji	surprise	147	-0.039306044578552246	0.06735049933195114
llmoji	anger	147	0.012416442856192589	0.05633233115077019
llmoji	frustration	147	0.010978189297020435	0.04916544631123543
llmoji	hatefulness	147	-0.017754940316081047	0.06095627695322037
llmoji	sadness	147	-0.013226204551756382	0.05013984441757202
llmoji	hope	147	0.022591078653931618	0.06121128052473068
llmoji	aggression	147	-0.030116716399788857	0.0558478944003582
llmoji	exhaustion	147	-0.053476639091968536	0.06532375514507294
llmoji-study	warmth	26	-0.012362458743155003	0.04080236330628395
llmoji-study	energy	26	-0.007250216323882341	0.055980123579502106
llmoji-study	confidence	26	-0.049649424850940704	0.048708878457546234
llmoji-study	playfulness	26	0.0002288344840053469	0.03720065578818321
llmoji-study	empathy	26	0.010111397132277489	0.06220488250255585
llmoji-study	technicality	26	-0.04403595253825188	0.06664562970399857
llmoji-study	positivity	26	-0.00529162073507905	0.05558530241250992
llmoji-study	curiosity	26	0.04392054304480553	0.07381511479616165
llmoji-study	approval	26	0.011809280142188072	0.05872997269034386
llmoji-study	apologeticness	26	-0.03279337286949158	0.06709819287061691
llmoji-study	decisiveness	26	0.0017181300790980458	0.04254069924354553
llmoji-study	wryness	26	0.012672420591115952	0.07991490513086319
llmoji-study	wetness	26	0.0016400893218815327	0.07111738622188568
llmoji-study	surprise	26	-0.017067136242985725	0.05067794397473335
llmoji-study	anger	26	0.009046750143170357	0.06678058207035065
llmoji-study	frustration	26	0.020153449848294258	0.0676778182387352
llmoji-study	hatefulness	26	-0.016574116423726082	0.05607932433485985
llmoji-study	sadness	26	-0.0027105750050395727	0.03278658166527748
llmoji-study	hope	26	-0.001438551931641996	0.04919281229376793
llmoji-study	aggression	26	-0.027530066668987274	0.06197332963347435
llmoji-study	exhaustion	26	-0.051817867904901505	0.06429391354322433
rlaif	warmth	29	-0.027262510731816292	0.04752571880817413
rlaif	energy	29	-0.041254207491874695	0.06599071621894836
rlaif	confidence	29	-0.00622302433475852	0.05436977744102478
rlaif	playfulness	29	0.01271306723356247	0.049163248389959335
rlaif	empathy	29	0.02351505123078823	0.047554243355989456
rlaif	technicality	29	-0.02413289062678814	0.0500040166079998
rlaif	positivity	29	-0.002585271606221795	0.05571132153272629
rlaif	curiosity	29	0.06812523305416107	0.06509405374526978
rlaif	approval	29	0.015522491186857224	0.05640806630253792
rlaif	apologeticness	29	0.009471137076616287	0.05274977162480354
rlaif	decisiveness	29	0.03944430500268936	0.06594786792993546
rlaif	wryness	29	-0.005316783674061298	0.05426909402012825
rlaif	wetness	29	-0.0024518403224647045	0.06004408001899719
rlaif	surprise	29	0.0009904172038659453	0.056700196117162704
rlaif	anger	29	-0.01580008491873741	0.05868778005242348
rlaif	frustration	29	0.02201996184885502	0.05926676094532013
rlaif	hatefulness	29	-0.019308410584926605	0.059492986649274826
rlaif	sadness	29	-0.0012904248433187604	0.05059361457824707
rlaif	hope	29	0.01933639496564865	0.062169045209884644
rlaif	aggression	29	-0.03545374423265457	0.04966464638710022
rlaif	exhaustion	29	-0.06259951740503311	0.06658332049846649
saklas	warmth	164	0.0011478575179353356	0.05099527910351753
saklas	energy	164	-0.019909001886844635	0.06574121117591858
saklas	confidence	164	-0.02769658714532852	0.056693147867918015
saklas	playfulness	164	0.0008567568147554994	0.05615639314055443
saklas	empathy	164	0.023439064621925354	0.045283880084753036
saklas	technicality	164	-0.026091642677783966	0.07814648747444153
saklas	positivity	164	-0.003370325081050396	0.062050480395555496
saklas	curiosity	164	0.058284614235162735	0.07474199682474136
saklas	approval	164	0.006061846856027842	0.06230957433581352
saklas	apologeticness	164	-0.02575353905558586	0.0660833790898323
saklas	decisiveness	164	-0.011290596798062325	0.056926026940345764
saklas	wryness	164	-0.00869834702461958	0.05047524720430374
saklas	wetness	164	-0.030558452010154724	0.05363105610013008
saklas	surprise	164	-0.02164228819310665	0.06837078183889389
saklas	anger	164	-0.008275694213807583	0.04486002400517464
saklas	frustration	164	0.015242029912769794	0.06438491493463516
saklas	hatefulness	164	-0.006329883821308613	0.0639212504029274
saklas	sadness	164	-0.00892973504960537	0.04603174701333046
