size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
5	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,opus	0.124259341127063	0.8207316647718562	0.08200696842954558	0.8816889533283568	0.7592592592592593	41	0.6971527178602244
6	gemma,gemma_intro_v7_primed,granite,haiku,ministral,opus	0.12442532186643439	0.820492205182282	0.07525737093033591	0.8914265641684631	0.7592592592592593	41	0.6966292134831461
5	gemma,gemma_intro_v7_primed,gpt_oss_20b,ministral,opus	0.12474388834943415	0.8200326108970648	0.06990712536095951	0.8991453369189406	0.7037037037037037	38	0.6298200514138818
3	gemma,ministral,opus	0.12495256503807811	0.8197315540732091	0.06794760377904636	0.9019723289876816	0.7222222222222222	39	0.6525096525096525
3	gemma_intro_v7_primed,ministral,opus	0.12495609241527096	0.8197264651436256	0.06945329891109157	0.8998000700875893	0.7592592592592593	41	0.6964980544747081
3	gemma,gemma_intro_v7_primed,ministral	0.1251091500090804	0.8195056497120663	0.0737354559778733	0.8936222233230358	0.6666666666666666	36	0.586734693877551
5	bol,gemma,gemma_intro_v7_primed,ministral,opus	0.1258158778632874	0.8184860569415437	0.08443724154575234	0.8781828103555995	0.7407407407407407	40	0.6749785038693035
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,opus	0.12590062045388392	0.8183637992263381	0.08119393192587816	0.8828619170602595	0.7407407407407407	40	0.6739974126778785
3	gemma,gemma_intro_v7_primed,gpt_oss_20b	0.1261439757758528	0.8180127117101597	0.08116697073174912	0.8829008138413259	0.6851851851851852	37	0.6100254885301615
4	gemma,gemma_intro_v7_primed,granite,haiku	0.12646801453322423	0.817545222601844	0.09592822720965731	0.8616048223233577	0.7407407407407407	40	0.6755364806866953
3	gemma,gpt_oss_20b,opus	0.12698638172423504	0.8167973768260132	0.07685005467247798	0.8891288072319703	0.7222222222222222	39	0.6525096525096525
5	gemma,gemma_intro_v7_primed,granite,haiku,ministral	0.12700384303734946	0.8167721854761756	0.07864161318252694	0.8865441346540602	0.7407407407407407	40	0.6748387096774193
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,ministral,opus	0.12703995033681434	0.8167200936542978	0.07156193547942073	0.8967579505674237	0.7037037037037037	38	0.6287064890416846
4	gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku	0.12705472496144074	0.8166987783766182	0.07971807098104494	0.8849911343264121	0.6851851851851852	37	0.6085287846481877
3	gemma_intro_v7_primed,gpt_oss_20b,opus	0.12772988845028893	0.8157247233594677	0.0789702757543647	0.8860699747915441	0.7037037037037037	38	0.6293436293436294
5	gemma,gemma_intro_v7_primed,haiku,opus,qwen	0.1280128394203839	0.8153165113980969	0.07533738463866503	0.8913111287882536	0.7222222222222222	39	0.6514629948364888
3	gemma,haiku,opus	0.12804430771280928	0.8152711122486695	0.0864264436281537	0.8753129983759931	0.7037037037037037	38	0.6256499133448874
5	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku	0.1281429094535235	0.8151288600063182	0.08432363353720512	0.8783467120661359	0.7407407407407407	40	0.6755364806866953
5	gemma,gemma_intro_v7_primed,granite,opus,qwen	0.1282189405155587	0.8150191703701665	0.07867952127163418	0.8864894448418956	0.7777777777777778	42	0.7200863930885528
6	bol,gemma,gemma_intro_v7_primed,haiku,ministral,opus	0.1287301454045726	0.814281657611908	0.08418686265643265	0.8785440307375644	0.7592592592592593	41	0.6962353959324967
3	gemma,gemma_intro_v7_primed,haiku	0.12895844548178126	0.8139522902226844	0.09676202314405408	0.8604019090636901	0.6851851851851852	37	0.6085287846481877
5	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,opus	0.1290116647819976	0.8138755110021827	0.09253893963549627	0.8664945306987464	0.7592592592592593	41	0.6980645161290323
6	gemma,gemma_intro_v7_primed,granite,haiku,opus,qwen	0.1292424131876996	0.8135426114215834	0.07882467408210438	0.8862800336020592	0.7407407407407407	40	0.6739974126778785
4	gemma,haiku,ministral,opus	0.12935889593345257	0.8133745623419365	0.07154074589930587	0.8967885206695739	0.7037037037037037	38	0.6256499133448874
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,ministral,opus	0.12973741303763706	0.8128284775928378	0.07671753332631472	0.889319995120892	0.7407407407407407	40	0.6742783283067644
4	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite	0.12986585928028072	0.8126431688355551	0.08918025036279449	0.8713400950563602	0.6851851851851852	37	0.607859888936352
7	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,ministral,opus	0.12987834892541583	0.8126251500864561	0.07633073288390427	0.8898780302009712	0.7592592592592593	41	0.6966292134831461
4	gemma_intro_v7_primed,haiku,ministral,opus	0.12990847544911963	0.8125816867001094	0.0729007148580167	0.8948265001970789	0.7037037037037037	38	0.6258120398440883
